Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",19.0,NBA,PF,79.0,7.0,1952.0,235.0,531.0,0.44,13.0,53.0,0.24,222.0,478.0,0.46,0.46,189.0,253.0,0.75,122.0,261.0,383.0,63.0,48.0,24.0,83.0,227.0,672.0
2007,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",20.0,NBA,PF,64.0,63.0,2179.0,306.0,706.0,0.43,11.0,45.0,0.24,295.0,661.0,0.45,0.44,216.0,265.0,0.82,84.0,253.0,337.0,121.0,52.0,30.0,127.0,191.0,839.0
2008,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",21.0,NBA,SF,80.0,80.0,2765.0,424.0,918.0,0.46,1.0,10.0,0.1,423.0,908.0,0.47,0.46,336.0,409.0,0.82,119.0,338.0,457.0,137.0,81.0,33.0,127.0,225.0,1185.0
2009,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",22.0,NBA,SF,61.0,59.0,2093.0,285.0,622.0,0.46,55.0,155.0,0.36,230.0,467.0,0.49,0.5,220.0,273.0,0.81,110.0,272.0,382.0,81.0,57.0,39.0,70.0,127.0,845.0
2010,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",23.0,NBA,SF,81.0,81.0,2468.0,302.0,664.0,0.46,40.0,132.0,0.3,262.0,532.0,0.49,0.48,176.0,215.0,0.82,106.0,310.0,416.0,93.0,66.0,46.0,72.0,160.0,820.0
2011,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",24.0,NBA,SF,65.0,52.0,1865.0,246.0,537.0,0.46,37.0,110.0,0.34,209.0,427.0,0.49,0.49,147.0,174.0,0.84,68.0,245.0,313.0,88.0,34.0,23.0,62.0,104.0,676.0
2012,1,3163,ATL,Atlanta Hawks,Marvin Williams,"June 19, 1986",25.0,NBA,SF,57.0,37.0,1500.0,203.0,470.0,0.43,58.0,149.0,0.39,145.0,321.0,0.45,0.49,115.0,146.0,0.79,76.0,218.0,294.0,71.0,47.0,18.0,39.0,84.0,579.0
2013,29,3163,UTA,Utah Jazz,Marvin Williams,"June 19, 1986",26.0,NBA,SF,73.0,51.0,1727.0,199.0,470.0,0.42,54.0,166.0,0.32,145.0,304.0,0.48,0.48,77.0,99.0,0.78,55.0,208.0,263.0,77.0,37.0,38.0,60.0,98.0,529.0
2014,29,3163,UTA,Utah Jazz,Marvin Williams,"June 19, 1986",27.0,NBA,PF,66.0,50.0,1674.0,231.0,526.0,0.44,84.0,234.0,0.36,147.0,292.0,0.5,0.52,57.0,73.0,0.78,82.0,252.0,334.0,78.0,54.0,31.0,53.0,151.0,603.0
2015,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",28.0,NBA,PF,78.0,37.0,2035.0,210.0,495.0,0.42,95.0,265.0,0.36,115.0,230.0,0.5,0.52,62.0,87.0,0.71,58.0,328.0,386.0,100.0,69.0,36.0,60.0,146.0,577.0
2016,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",29.0,NBA,PF,81.0,81.0,2338.0,338.0,747.0,0.45,152.0,378.0,0.4,186.0,369.0,0.5,0.55,120.0,144.0,0.83,127.0,394.0,521.0,110.0,58.0,77.0,62.0,133.0,948.0
2017,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",30.0,NBA,PF,76.0,76.0,2295.0,297.0,704.0,0.42,124.0,354.0,0.35,173.0,350.0,0.49,0.51,131.0,150.0,0.87,89.0,411.0,500.0,106.0,58.0,53.0,60.0,134.0,849.0
2018,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",31.0,NBA,PF,78.0,78.0,2006.0,258.0,563.0,0.46,126.0,305.0,0.41,132.0,258.0,0.51,0.57,102.0,123.0,0.83,74.0,296.0,370.0,96.0,56.0,38.0,66.0,116.0,744.0
2019,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",32.0,NBA,PF,75.0,75.0,2133.0,275.0,652.0,0.42,140.0,382.0,0.37,135.0,270.0,0.5,0.53,66.0,86.0,0.77,76.0,331.0,407.0,92.0,71.0,61.0,47.0,156.0,756.0
2020,31,3163,TOT,Total After Trade,Marvin Williams,"June 19, 1986",33.0,NBA,PF,58.0,1.0,1129.0,119.0,267.0,0.45,56.0,156.0,0.36,63.0,111.0,0.57,0.55,49.0,57.0,0.86,30.0,153.0,183.0,60.0,36.0,30.0,33.0,103.0,343.0
2020,4,3163,CHO,Charlotte Hornets,Marvin Williams,"June 19, 1986",33.0,NBA,PF,41.0,1.0,808.0,94.0,210.0,0.45,44.0,117.0,0.38,50.0,93.0,0.54,0.55,43.0,50.0,0.86,15.0,94.0,109.0,41.0,26.0,22.0,25.0,71.0,275.0
2020,17,3163,MIL,Milwaukee Bucks,Marvin Williams,"June 19, 1986",33.0,NBA,PF,17.0,0.0,321.0,25.0,57.0,0.44,12.0,39.0,0.31,13.0,18.0,0.72,0.54,6.0,7.0,0.86,15.0,59.0,74.0,19.0,10.0,8.0,8.0,32.0,68.0
